,Income,LotSize,Ownership ,mowerid,DEA,weight0,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9
0,85.5,16.8,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,64.8,21.6,1,2,0.9583333333333333,0.024999999999999762,0.0,0.9750000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,61.5,20.8,1,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,87.0,23.6,1,4,0.8149606299212597,0.3917322834645668,0.0,0.6082677165354332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,110.1,19.2,1,5,0.8750000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,108.0,17.6,1,6,0.9545454545454545,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,82.8,22.4,1,7,0.8577348066298345,0.3966850828729283,0.0,0.6033149171270717,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,69.0,20.0,1,8,0.9857142857142858,0.2714285714285715,0.0,0.7285714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,93.0,20.8,1,9,0.8553719008264464,0.7520661157024792,0.0,0.24793388429752083,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,81.0,20.0,1,11,0.9268656716417912,0.5656716417910449,0.0,0.4343283582089551,0.0,0.0,0.0,0.0,0.0,0.0,0.0
