,Income,LotSize,Ownership ,mowerid,DEA,weight0,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,weight10
0,60.0,18.4,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,64.8,21.6,1,2,0.8922558922558922,0.7575757575757569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24242424242424312,0.0
2,61.5,20.8,1,3,0.9339207048458151,0.7151248164464024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2848751835535977,0.0
3,87.0,23.6,1,4,0.7744510978043909,0.8463073852295412,0.0,0.0,0.0,0.0,0.15369261477045884,0.0,0.0,0.0,0.0,0.0
4,110.1,19.2,1,5,0.9222724031376279,0.13453767530306626,0.0,0.0,0.0,0.0,0.8654623246969337,0.0,0.0,0.0,0.0,0.0
5,108.0,17.6,1,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,82.8,22.4,1,7,0.8158116063919261,0.8427249789739275,0.0,0.0,0.0,0.0,0.15727502102607244,0.0,0.0,0.0,0.0,0.0
7,69.0,20.0,1,8,0.91725768321513,0.9314420803782506,0.0,0.0,0.0,0.0,0.06855791962174938,0.0,0.0,0.0,0.0,0.0
8,93.0,20.8,1,9,0.8680089485458613,0.5682326621923939,0.0,0.0,0.0,0.0,0.4317673378076062,0.0,0.0,0.0,0.0,0.0
9,51.0,22.0,1,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10,81.0,20.0,1,11,0.9086651053864169,0.7166276346604215,0.0,0.0,0.0,0.0,0.28337236533957855,0.0,0.0,0.0,0.0,0.0
